1年经验,无,上海,贸易,excel,5.5k-7.01k,,,,,,,,,
无工作经验,高中,广州,金融,5.5k-7.01k,,,,,,,,,,
无工作经验,本科,上海,互联网,excel,python,sas,tableau,9.01k-12.51k,,,,,,
无工作经验,无,无锡,银行,excel,BI,7.01k-9.01k,,,,,,,,
无工作经验,无,成都,金融,<5.5k,,,,,,,,,,
无工作经验,本科,广州,金融,7.01k-9.01k,,,,,,,,,,
1年经验,本科,北京,互联网,excel,python,sas,BI,9.01k-12.51k,,,,,,
无工作经验,大专,深圳,办公用品及设备,5.5k-7.01k,,,,,,,,,,
3-4年经验,硕士,长沙,计算机软件,python,sas,spss,hadoop,hive,tableau,>=12.51k,,,,
无工作经验,无,广州,互联网,excel,tableau,9.01k-12.51k,,,,,,,,
无工作经验,本科,广州,金融,7.01k-9.01k,,,,,,,,,,
无工作经验,大专,广州,金融,7.01k-9.01k,,,,,,,,,,
无工作经验,无,广州,金融,5.5k-7.01k,,,,,,,,,,
2年经验,大专,上海,汽车及零配件,excel,BI,7.01k-9.01k,,,,,,,,
2年经验,本科,南昌,计算机服务(系统、数据服务、维修),python,sas,7.01k-9.01k,,,,,,,,
无工作经验,本科,杭州,通信,python,sas,spss,mysql,java,>=12.51k,,,,,
无工作经验,高中,广州,金融,7.01k-9.01k,,,,,,,,,,
无工作经验,大专,成都,金融,5.5k-7.01k,,,,,,,,,,
5-7年经验,本科,广州,互联网,hadoop,mysql,hive,>=12.51k,,,,,,,
无工作经验,无,深圳,金融,python,sas,spss,BI,>=12.51k,,,,,,
1年经验,无,广州,金融,7.01k-9.01k,,,,,,,,,,
1年经验,本科,上海,计算机服务(系统、数据服务、维修),python,sas,7.01k-9.01k,,,,,,,,
无工作经验,本科,宣城,计算机软件,spss,<5.5k,,,,,,,,,
无工作经验,无,杭州,服装,5.5k-7.01k,,,,,,,,,,
1年经验,本科,海口,互联网,excel,spss,7.01k-9.01k,,,,,,,,
无工作经验,大专,郑州,互联网,<5.5k,,,,,,,,,,
无工作经验,无,合肥,批发,excel,5.5k-7.01k,,,,,,,,,
无工作经验,高中,广州,金融,7.01k-9.01k,,,,,,,,,,
无工作经验,本科,佛山,计算机服务(系统、数据服务、维修),python,sas,5.5k-7.01k,,,,,,,,
1年经验,大专,中山,贸易,excel,5.5k-7.01k,,,,,,,,,
无工作经验,本科,上海,计算机服务(系统、数据服务、维修),BI,mysql,9.01k-12.51k,,,,,,,,
